id,filename,imported_at,record_count
373cb417-172c-487e-af22-bae18b10006c,20260301-0331.CSV,2026-06-11T04:00:45.980236+00:00,2595
6e072825-913b-4d2f-90dd-71b780c09c4c,20250201-0228.CSV,2026-06-11T06:03:13.264561+00:00,2363
a81240e8-4bac-490c-b349-c8ddc74740a3,20250301-0331.CSV,2026-06-11T06:03:13.264561+00:00,2441
d8199fcf-0052-40b9-a0fb-21a1d6652449,20250401-0430.CSV,2026-06-11T06:03:13.264561+00:00,2938
add14fce-799e-4fc5-aeb8-3d9efdac9b1c,20250501-0531.CSV,2026-06-11T06:03:13.264561+00:00,2757
5745693f-0c3f-46bf-9739-0303e099f9d9,20250601-0630.CSV,2026-06-11T06:03:13.264561+00:00,2760
2b1abb49-4104-42ff-a4f3-339a92873f96,20250701-0731.CSV,2026-06-11T06:03:13.264561+00:00,2818
84ac5da0-0c1e-46a1-8b6b-38c0d64089cf,20250801-0831.CSV,2026-06-11T06:03:13.264561+00:00,2206
f5c54a27-aeee-49df-bedc-b56889d34802,20250901-0930.CSV,2026-06-11T06:03:13.264561+00:00,2218
3d44fccb-1015-4d87-9dcd-0dad8966f8cf,20251001-1031.CSV,2026-06-11T06:03:13.264561+00:00,2530
b574ac16-1864-4a47-a485-59061feadc9d,20251101-1130.CSV,2026-06-11T06:03:13.264561+00:00,2380
3f04333e-2842-42e3-86b4-f7b77864fc94,20251201-1231.CSV,2026-06-11T06:03:13.264561+00:00,2508
e62f0b7d-0188-4887-bf6c-6ab095b3d61f,20260101-0131.CSV,2026-06-11T06:03:13.264561+00:00,2175
d0ac61d2-aa7c-4651-8de8-9df51f70fd2b,20260201-0228.CSV,2026-06-11T06:03:13.264561+00:00,2116
8ee68c5d-2d9f-4ac8-9a32-90859283468b,20260601-0625.CSV,2026-06-25T05:55:54.182731+00:00,2053
